Fold 1 for k=5,l=5.
Initialising F using KMeans.
Iteration: 1.
Iteration: 2.
Iteration: 3.
Iteration: 4.
Iteration: 5.
Iteration: 6.
Iteration: 7.
Iteration: 8.
Iteration: 9.
Iteration: 10.
Iteration: 11.
Iteration: 12.
Iteration: 13.
Iteration: 14.
Iteration: 15.
[191.0, 106.0, 143.0, 125.0, 57.0]
Initialising G using KMeans.
Iteration: 1.
Iteration: 2.
Iteration: 3.
Iteration: 4.
Iteration: 5.
Iteration: 6.
Iteration: 7.
[27.0, 21.0, 28.0, 33.0, 30.0]
Iteration 143. I-divergence: 1511.40682162. MSE: 0.779826388444.
Iteration 144. I-divergence: 1511.25530157. MSE: 0.779746813096.
Iteration 145. I-divergence: 1511.10371438. MSE: 0.779667202064.
Iteration 146. I-divergence: 1510.95205993. MSE: 0.779587555282.
Iteration 147. I-divergence: 1510.80033815. MSE: 0.77950787269.
Iteration 148. I-divergence: 1510.64854898. MSE: 0.779428154235.
Iteration 149. I-divergence: 1510.49669233. MSE: 0.779348399866.
Iteration 150. I-divergence: 1510.34476817. MSE: 0.779268609541.
Iteration 151. I-divergence: 1510.19277643. MSE: 0.779188783218.
Iteration 152. I-divergence: 1510.04071708. MSE: 0.779108920863.
Iteration 153. I-divergence: 1509.88859008. MSE: 0.779029022441.
Iteration 154. I-divergence: 1509.73639541. MSE: 0.778949087926.
Iteration 155. I-divergence: 1509.58413304. MSE: 0.77886911729.
Iteration 156. I-divergence: 1509.43180296. MSE: 0.778789110512.
Iteration 157. I-divergence: 1509.27940514. MSE: 0.778709067571.
Iteration 158. I-divergence: 1509.12693958. MSE: 0.778628988451.
Iteration 159. I-divergence: 1508.97440628. MSE: 0.778548873135.
Iteration 160. I-divergence: 1508.82180522. MSE: 0.778468721612.
Iteration 161. I-divergence: 1508.66913643. MSE: 0.778388533871.
Iteration 162. I-divergence: 1508.51639989. MSE: 0.778308309902.
Iteration 163. I-divergence: 1508.36359562. MSE: 0.778228049699.
Iteration 164. I-divergence: 1508.21072362. MSE: 0.778147753257.
Iteration 165. I-divergence: 1508.05778391. MSE: 0.77806742057.
Iteration 166. I-divergence: 1507.90477651. MSE: 0.777987051638.
Iteration 167. I-divergence: 1507.75170142. MSE: 0.777906646459.
Iteration 168. I-divergence: 1507.59855868. MSE: 0.777826205034.
Iteration 169. I-divergence: 1507.44534829. MSE: 0.777745727363.
Iteration 170. I-divergence: 1507.29207029. MSE: 0.777665213449.
Iteration 171. I-divergence: 1507.13872469. MSE: 0.777584663296.
Iteration 172. I-divergence: 1506.98531153. MSE: 0.777504076908.
Iteration 173. I-divergence: 1506.83183082. MSE: 0.777423454291.
Iteration 174. I-divergence: 1506.67828261. MSE: 0.777342795452.
Iteration 175. I-divergence: 1506.5246669. MSE: 0.777262100397.
Iteration 176. I-divergence: 1506.37098375. MSE: 0.777181369134.
Iteration 177. I-divergence: 1506.21723317. MSE: 0.777100601672.
Iteration 178. I-divergence: 1506.0634152. MSE: 0.777019798021.
Iteration 179. I-divergence: 1505.90952988. MSE: 0.77693895819.
Iteration 180. I-divergence: 1505.75557723. MSE: 0.776858082191.
Iteration 181. I-divergence: 1505.6015573. MSE: 0.776777170035.
Iteration 182. I-divergence: 1505.44747012. MSE: 0.776696221733.
Iteration 183. I-divergence: 1505.29331572. MSE: 0.776615237299.
Iteration 184. I-divergence: 1505.13909415. MSE: 0.776534216744.
Iteration 185. I-divergence: 1504.98480544. MSE: 0.776453160084.
Iteration 186. I-divergence: 1504.83044963. MSE: 0.776372067331.
Iteration 187. I-divergence: 1504.67602676. MSE: 0.776290938501.
Iteration 188. I-divergence: 1504.52153687. MSE: 0.776209773607.
Iteration 189. I-divergence: 1504.36698001. MSE: 0.776128572667.
Iteration 190. I-divergence: 1504.2123562. MSE: 0.776047335695.
Iteration 191. I-divergence: 1504.0576655. MSE: 0.775966062708.
Iteration 192. I-divergence: 1503.90290794. MSE: 0.775884753723.
Iteration 193. I-divergence: 1503.74808358. MSE: 0.775803408756.
Iteration 194. I-divergence: 1503.59319245. MSE: 0.775722027825.
Iteration 195. I-divergence: 1503.43823459. MSE: 0.775640610948.
Iteration 196. I-divergence: 1503.28321006. MSE: 0.775559158144.
Iteration 197. I-divergence: 1503.1281189. MSE: 0.77547766943.
Iteration 198. I-divergence: 1502.97296114. MSE: 0.775396144826.
Iteration 199. I-divergence: 1502.81773685. MSE: 0.775314584351.
Iteration 200. I-divergence: 1502.66244606. MSE: 0.775232988025.
Iteration 201. I-divergence: 1502.50708882. MSE: 0.775151355867.
Iteration 202. I-divergence: 1502.35166518. MSE: 0.775069687899.
Iteration 203. I-divergence: 1502.19617519. MSE: 0.77498798414.
Iteration 204. I-divergence: 1502.04061889. MSE: 0.774906244613.
Iteration 205. I-divergence: 1501.88499634. MSE: 0.774824469337.
Iteration 206. I-divergence: 1501.72930758. MSE: 0.774742658335.
Iteration 207. I-divergence: 1501.57355266. MSE: 0.77466081163.
Iteration 208. I-divergence: 1501.41773164. MSE: 0.774578929242.
Iteration 209. I-divergence: 1501.26184456. MSE: 0.774497011195.
Iteration 210. I-divergence: 1501.10589148. MSE: 0.774415057513.
Iteration 211. I-divergence: 1500.94987244. MSE: 0.774333068217.
Iteration 212. I-divergence: 1500.7937875. MSE: 0.774251043332.
Iteration 213. I-divergence: 1500.63763672. MSE: 0.774168982882.
Iteration 214. I-divergence: 1500.48142014. MSE: 0.774086886891.
Iteration 215. I-divergence: 1500.32513782. MSE: 0.774004755384.
Iteration 216. I-divergence: 1500.16878981. MSE: 0.773922588385.
Iteration 217. I-divergence: 1500.01237617. MSE: 0.77384038592.
Iteration 218. I-divergence: 1499.85589695. MSE: 0.773758148014.
Iteration 219. I-divergence: 1499.69935221. MSE: 0.773675874694.
Iteration 220. I-divergence: 1499.54274201. MSE: 0.773593565985.
Iteration 221. I-divergence: 1499.38606639. MSE: 0.773511221915.
Iteration 222. I-divergence: 1499.22932543. MSE: 0.773428842509.
Iteration 223. I-divergence: 1499.07251917. MSE: 0.773346427796.
Iteration 224. I-divergence: 1498.91564767. MSE: 0.773263977802.
Iteration 225. I-divergence: 1498.758711. MSE: 0.773181492556.
Iteration 226. I-divergence: 1498.60170921. MSE: 0.773098972086.
Iteration 227. I-divergence: 1498.44464236. MSE: 0.77301641642.
Iteration 228. I-divergence: 1498.28751051. MSE: 0.772933825588.
Iteration 229. I-divergence: 1498.13031372. MSE: 0.772851199618.
Iteration 230. I-divergence: 1497.97305206. MSE: 0.77276853854.
Iteration 231. I-divergence: 1497.81572559. MSE: 0.772685842384.
Iteration 232. I-divergence: 1497.65833436. MSE: 0.772603111181.
Iteration 233. I-divergence: 1497.50087845. MSE: 0.772520344961.
Iteration 234. I-divergence: 1497.34335792. MSE: 0.772437543755.
Iteration 235. I-divergence: 1497.18577282. MSE: 0.772354707594.
Iteration 236. I-divergence: 1497.02812323. MSE: 0.772271836511.
