Fold 1 for k=10,l=5.
Initialising F using KMeans.
Iteration: 1.
Iteration: 2.
Iteration: 3.
Iteration: 4.
Iteration: 5.
Iteration: 6.
Iteration: 7.
Iteration: 8.
Iteration: 9.
Iteration: 10.
Iteration: 11.
Iteration: 12.
Iteration: 13.
Iteration: 14.
Iteration: 15.
Iteration: 16.
Iteration: 17.
Iteration: 18.
[132.0, 4.0, 29.0, 59.0, 10.0, 72.0, 131.0, 34.0, 81.0, 70.0]
Initialising G using KMeans.
Iteration: 1.
Iteration: 2.
Iteration: 3.
Iteration: 4.
Iteration: 5.
Iteration: 6.
Iteration: 7.
Iteration: 8.
[32.0, 2.0, 28.0, 23.0, 54.0]
Iteration 175. I-divergence: 1448.43055446. MSE: 0.746777731688.
Iteration 176. I-divergence: 1448.07457852. MSE: 0.746590254494.
Iteration 177. I-divergence: 1447.71916948. MSE: 0.746403068835.
Iteration 178. I-divergence: 1447.36433169. MSE: 0.746216177088.
Iteration 179. I-divergence: 1447.01006951. MSE: 0.746029581639.
Iteration 180. I-divergence: 1446.65638731. MSE: 0.745843284875.
Iteration 181. I-divergence: 1446.30328947. MSE: 0.745657289187.
Iteration 182. I-divergence: 1445.95078036. MSE: 0.745471596966.
Iteration 183. I-divergence: 1445.59886436. MSE: 0.745286210603.
Iteration 184. I-divergence: 1445.24754586. MSE: 0.745101132487.
Iteration 185. I-divergence: 1444.89682921. MSE: 0.744916365005.
Iteration 186. I-divergence: 1444.54671879. MSE: 0.744731910539.
Iteration 187. I-divergence: 1444.19721896. MSE: 0.744547771467.
Iteration 188. I-divergence: 1443.84833406. MSE: 0.744363950161.
Iteration 189. I-divergence: 1443.50006843. MSE: 0.744180448984.
Iteration 190. I-divergence: 1443.15242639. MSE: 0.743997270292.
Iteration 191. I-divergence: 1442.80541225. MSE: 0.743814416433.
Iteration 192. I-divergence: 1442.45903027. MSE: 0.743631889743.
Iteration 193. I-divergence: 1442.11328474. MSE: 0.743449692546.
Iteration 194. I-divergence: 1441.76817989. MSE: 0.743267827157.
Iteration 195. I-divergence: 1441.42371994. MSE: 0.743086295875.
Iteration 196. I-divergence: 1441.07990909. MSE: 0.742905100988.
Iteration 197. I-divergence: 1440.73675149. MSE: 0.742724244766.
Iteration 198. I-divergence: 1440.39425129. MSE: 0.742543729465.
Iteration 199. I-divergence: 1440.05241259. MSE: 0.742363557327.
Iteration 200. I-divergence: 1439.71123946. MSE: 0.742183730574.
Iteration 201. I-divergence: 1439.37073595. MSE: 0.742004251411.
Iteration 202. I-divergence: 1439.03090607. MSE: 0.741825122025.
Iteration 203. I-divergence: 1438.69175377. MSE: 0.741646344583.
Iteration 204. I-divergence: 1438.35328301. MSE: 0.741467921233.
Iteration 205. I-divergence: 1438.01549766. MSE: 0.741289854101.
Iteration 206. I-divergence: 1437.6784016. MSE: 0.741112145295.
Iteration 207. I-divergence: 1437.34199862. MSE: 0.740934796897.
Iteration 208. I-divergence: 1437.0062925. MSE: 0.740757810969.
Iteration 209. I-divergence: 1436.67128698. MSE: 0.74058118955.
Iteration 210. I-divergence: 1436.33698573. MSE: 0.740404934655.
Iteration 211. I-divergence: 1436.00339239. MSE: 0.740229048274.
Iteration 212. I-divergence: 1435.67051056. MSE: 0.740053532375.
Iteration 213. I-divergence: 1435.33834379. MSE: 0.739878388897.
Iteration 214. I-divergence: 1435.00689555. MSE: 0.739703619757.
